league,season,team,player_name,nation,pos,age,born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Int,Tkl+Int,Clr,Blocks_Blocks,Challenges_Tkl%,Challenges_Lost,Err,Total_Cmp,Total_Att,Total_Cmp%,Total_PrgDist,KP,Expected_xA,1/3,PPA,PrgP,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Outcomes_Blocks,Outcomes_Off,player_id
ENG-Premier League,25/26,Sunderland,Chris Rigg,ENG,MF,18-326,2007,16,11,746,8.3,1,0,1,1,0,0,1,0,,,,,,,,0.12,0.00,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chris_rigg_sunderland
ENG-Premier League,25/26,Sunderland,Patrick Roberts,ENG,"FW,MF",29-094,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patrick_roberts_sunderland
ENG-Premier League,25/26,Liverpool,Andrew Robertson,SCO,DF,32-060,1994,23,10,1094,12.2,1,0,1,1,0,0,0,0,,,,,,,,0.08,0.00,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andrew_robertson_liverpool
ENG-Premier League,25/26,Fulham,Antonee Robinson,USA,"DF,MF",28-275,1997,20,15,1312,14.6,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antonee_robinson_fulham
ENG-Premier League,25/26,Crystal Palace,Kaden Rodney,ENG,"DF,MF",21-215,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaden_rodney_crystal_palace
ENG-Premier League,25/26,Leeds United,Joe Rodon,WAL,DF,28-200,1997,32,30,2681,29.8,2,0,2,2,0,0,2,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joe_rodon_leeds_united
ENG-Premier League,25/26,Manchester City,Rodri,ESP,MF,29-322,1996,20,16,1421,15.8,1,0,1,1,0,0,2,0,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rodri_manchester_city
ENG-Premier League,25/26,West Ham,Guido Rodríguez,ARG,MF,32-028,1994,6,2,180,2.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guido_rodriguez_west_ham
ENG-Premier League,25/26,Sunderland,Robin Roefs,NED,GK,23-113,2003,33,33,2970,33.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin_roefs_sunderland
ENG-Premier League,25/26,Aston Villa,Morgan Rogers,ENG,MF,23-288,2002,35,35,3100,34.4,9,5,14,9,0,0,7,0,,,,,,,,0.26,0.15,0.41,0.26,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morgan_rogers_aston_villa
ENG-Premier League,25/26,Everton,Merlin Röhl,GER,MF,23-309,2002,13,3,455,5.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merlin_rohl_everton
ENG-Premier League,25/26,Tottenham,Cristian Romero,ARG,DF,28-013,1998,23,22,1868,20.8,4,1,5,4,0,0,11,2,,,,,,,,0.19,0.05,0.24,0.19,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cristian_romero_tottenham
ENG-Premier League,25/26,Tottenham,James Rowswell,ENG,DF,19-301,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,james_rowswell_tottenham
ENG-Premier League,25/26,Brighton,Georginio Rutter,FRA,"MF,FW",24-020,2002,30,20,1743,19.4,3,3,6,3,0,0,2,0,,,,,,,,0.15,0.15,0.31,0.15,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,georginio_rutter_brighton
ENG-Premier League,25/26,Wolves,José Sá,POR,GK,33-113,1993,21,21,1890,21.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jose_sa_wolves
ENG-Premier League,25/26,Sunderland,Noah Sadiki,COD,MF,21-144,2004,31,31,2723,30.3,0,1,1,0,0,0,8,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,noah_sadiki_sunderland
ENG-Premier League,25/26,Arsenal,Bukayo Saka,ENG,"FW,MF",24-247,2001,29,23,2053,22.8,7,4,11,6,1,1,1,0,,,,,,,,0.31,0.18,0.48,0.26,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bukayo_saka_arsenal
ENG-Premier League,25/26,Liverpool,Mohamed Salah,EGY,MF,33-329,1992,25,22,2056,22.8,7,6,13,6,1,1,1,0,,,,,,,,0.31,0.26,0.57,0.26,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mohamed_salah_liverpool
ENG-Premier League,25/26,Arsenal,William Saliba,FRA,DF,25-047,2001,29,28,2434,27.0,1,0,1,1,0,0,1,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,william_saliba_arsenal
ENG-Premier League,25/26,Chelsea,Robert Sánchez,ESP,GK,28-173,1997,33,33,2859,31.8,0,1,1,0,0,0,3,1,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robert_sanchez_chelsea
ENG-Premier League,25/26,Aston Villa,Jadon Sancho,ENG,MF,26-046,2000,22,9,875,9.7,0,2,2,0,0,0,0,0,,,,,,,,0.00,0.21,0.21,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadon_sancho_aston_villa
ENG-Premier League,25/26,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,28-159,1997,26,24,1990,22.1,2,2,4,2,0,0,5,0,,,,,,,,0.09,0.09,0.18,0.09,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ibrahim_sangare_nott_ham_forest
ENG-Premier League,25/26,Chelsea,Andrey Santos,BRA,MF,22-007,2004,26,12,1170,13.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andrey_santos_chelsea
ENG-Premier League,25/26,Crystal Palace,Ismaila Sarr,SEN,MF,28-074,1998,24,21,1919,21.3,7,1,8,5,2,2,2,0,,,,,,,,0.33,0.05,0.38,0.23,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismaila_sarr_crystal_palace
ENG-Premier League,25/26,Chelsea,Mamadou Sarr,SEN,DF,20-254,2005,2,1,92,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mamadou_sarr_chelsea
ENG-Premier League,25/26,Manchester City,Sávio,BRA,MF,22-030,2004,21,5,618,6.9,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,savio_manchester_city
ENG-Premier League,25/26,Nott'ham Forest,Nicolò Savona,ITA,DF,23-052,2003,14,11,1028,11.4,2,0,2,2,0,0,2,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nicolo_savona_nott_ham_forest
ENG-Premier League,25/26,West Ham,Oliver Scarles,ENG,"DF,MF",20-149,2005,13,9,659,7.3,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oliver_scarles_west_ham
ENG-Premier League,25/26,Tottenham,Dane Scarlett,ENG,FW,22-047,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dane_scarlett_tottenham
ENG-Premier League,25/26,Brentford,Kevin Schade,GER,"MF,FW",24-164,2001,33,31,2627,29.2,7,3,10,7,0,1,6,1,,,,,,,,0.24,0.10,0.34,0.24,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kevin_schade_brentford
ENG-Premier League,25/26,Newcastle Utd,Fabian Schär,SUI,DF,34-141,1991,16,11,1091,12.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fabian_schar_newcastle_utd
ENG-Premier League,25/26,Bournemouth,Alex Scott,ENG,MF,22-262,2003,36,33,2759,30.7,3,1,4,3,0,0,5,0,,,,,,,,0.10,0.03,0.13,0.10,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex_scott_bournemouth
ENG-Premier League,25/26,Sunderland,Jenson Seelt,NED,DF,22-352,2003,2,1,134,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jenson_seelt_sunderland
ENG-Premier League,25/26,Nott'ham Forest,Matz Sels,BEL,GK,34-073,1992,28,27,2398,26.6,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matz_sels_nott_ham_forest
ENG-Premier League,25/26,Bournemouth,Antoine Semenyo,GHA,MF,26-123,2000,20,20,1798,20.0,10,3,13,9,1,2,6,0,,,,,,,,0.50,0.15,0.65,0.45,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antoine_semenyo_bournemouth
ENG-Premier League,25/26,Manchester City,Antoine Semenyo,GHA,"MF,FW",26-123,2000,14,14,1195,13.3,5,1,6,5,0,0,1,0,,,,,,,,0.38,0.08,0.45,0.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antoine_semenyo_manchester_city
ENG-Premier League,25/26,Bournemouth,Marcos Senesi,ARG,DF,29-000,1997,35,35,3108,34.5,0,5,5,0,0,0,8,0,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcos_senesi_bournemouth
ENG-Premier League,25/26,Manchester Utd,Benjamin Šeško,SVN,FW,22-344,2003,30,17,1643,18.3,11,1,12,11,0,0,2,0,,,,,,,,0.60,0.05,0.66,0.60,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benjamin_sesko_manchester_utd
ENG-Premier League,25/26,Fulham,Ryan Sessegnon,ENG,"DF,MF",25-357,2000,27,20,1823,20.3,3,1,4,3,0,0,0,0,,,,,,,,0.15,0.05,0.20,0.15,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ryan_sessegnon_fulham
ENG-Premier League,25/26,Manchester Utd,Luke Shaw,ENG,DF,30-302,1995,36,36,3048,33.9,0,1,1,0,0,0,8,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luke_shaw_manchester_utd
ENG-Premier League,25/26,Manchester City,Bernardo Silva,POR,MF,31-273,1994,35,31,2681,29.8,2,4,6,2,0,0,10,0,,,,,,,,0.07,0.13,0.20,0.07,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bernardo_silva_manchester_city
ENG-Premier League,25/26,Nott'ham Forest,Jota Silva,POR,FW,26-282,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jota_silva_nott_ham_forest
ENG-Premier League,25/26,Tottenham,Xavi Simons,NED,"MF,FW",23-019,2003,28,19,1755,19.5,2,5,7,2,0,0,5,1,,,,,,,,0.10,0.26,0.36,0.10,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xavi_simons_tottenham
ENG-Premier League,25/26,Bournemouth,Adam Smith,ENG,DF,35-011,1991,20,12,899,10.0,0,2,2,0,0,0,3,0,,,,,,,,0.00,0.20,0.20,0.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adam_smith_bournemouth
ENG-Premier League,25/26,Fulham,Emile Smith Rowe,ENG,MF,25-286,2000,35,20,1774,19.7,3,0,3,3,0,0,1,0,,,,,,,,0.15,0.00,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emile_smith_rowe_fulham
ENG-Premier League,25/26,Tottenham,Dominic Solanke,ENG,FW,28-238,1997,15,11,1001,11.1,3,0,3,3,0,0,1,0,,,,,,,,0.27,0.00,0.27,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominic_solanke_tottenham
ENG-Premier League,25/26,Bournemouth,Julio Soler,ARG,DF,21-083,2005,3,0,35,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,julio_soler_bournemouth
ENG-Premier League,25/26,Burnley,Oliver Sonne,PER,DF,25-181,2000,7,1,169,1.9,1,0,1,1,0,0,0,0,,,,,,,,0.53,0.00,0.53,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oliver_sonne_burnley
ENG-Premier League,25/26,Crystal Palace,Borna Sosa,CRO,"DF,MF",28-109,1998,7,0,101,1.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,borna_sosa_crystal_palace
ENG-Premier League,25/26,West Ham,Tomáš Souček,CZE,MF,31-072,1995,32,21,1958,21.8,5,0,5,5,0,0,2,1,,,,,,,,0.23,0.00,0.23,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomas_soucek_west_ham
ENG-Premier League,25/26,Tottenham,Souza,BRA,MF,19-328,2006,4,2,144,1.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,souza_tottenham
ENG-Premier League,25/26,Tottenham,Djed Spence,ENG,"DF,MF",25-274,2000,27,22,1937,21.5,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,djed_spence_tottenham
ENG-Premier League,25/26,Leeds United,Anton Stach,GER,MF,27-176,1998,27,26,2207,24.5,5,3,8,5,0,0,3,0,,,,,,,,0.20,0.12,0.33,0.20,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anton_stach_leeds_united
ENG-Premier League,25/26,Manchester City,John Stones,ENG,DF,31-347,1994,7,4,353,3.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,john_stones_manchester_city
ENG-Premier League,25/26,Wolves,Jørgen Strand Larsen,NOR,FW,26-093,2000,22,14,1404,15.6,1,1,2,0,1,2,2,0,,,,,,,,0.06,0.06,0.13,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j_rgen_strand_larsen_wolves
ENG-Premier League,25/26,Crystal Palace,Jørgen Strand Larsen,NOR,FW,26-093,2000,10,9,672,7.5,3,0,3,3,0,0,2,0,,,,,,,,0.40,0.00,0.40,0.40,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j_rgen_strand_larsen_crystal_palace
ENG-Premier League,25/26,Leeds United,Pascal Struijk,NED,DF,26-272,1999,32,31,2791,31.0,0,1,1,0,0,0,5,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pascal_struijk_leeds_united
ENG-Premier League,25/26,West Ham,Crysencio Summerville,NED,"MF,FW",24-192,2001,28,26,2200,24.4,5,1,6,5,0,0,5,0,,,,,,,,0.20,0.04,0.25,0.20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crysencio_summerville_west_ham
ENG-Premier League,25/26,Liverpool,Dominik Szoboszlai,HUN,"MF,DF",25-197,2000,34,34,3051,33.9,6,5,11,6,0,1,8,1,,,,,,,,0.18,0.15,0.32,0.18,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik_szoboszlai_liverpool
ENG-Premier League,25/26,Sunderland,Jocelin Ta Bi,CIV,MF,21-090,2005,1,1,38,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jocelin_ta_bi_sunderland
ENG-Premier League,25/26,Sunderland,Chemsdine Talbi,MAR,"MF,FW",21-001,2005,27,16,1530,17.0,4,1,5,4,0,0,0,0,,,,,,,,0.24,0.06,0.29,0.24,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chemsdine_talbi_sunderland
ENG-Premier League,25/26,Leeds United,Ao Tanaka,JPN,MF,27-242,1998,25,11,1090,12.1,2,0,2,2,0,0,1,0,,,,,,,,0.17,0.00,0.17,0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ao_tanaka_leeds_united
ENG-Premier League,25/26,Everton,James Tarkowski,ENG,DF,33-172,1992,34,34,3060,34.0,1,2,3,1,0,0,7,0,,,,,,,,0.03,0.06,0.09,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,james_tarkowski_everton
ENG-Premier League,25/26,Bournemouth,Marcus Tavernier,ENG,MF,27-049,1999,32,29,2551,28.3,6,4,10,4,2,2,6,0,,,,,,,,0.21,0.14,0.35,0.14,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcus_tavernier_bournemouth
ENG-Premier League,25/26,Burnley,Loum Tchaouna,FRA,"MF,FW",22-244,2003,26,11,1027,11.4,2,0,2,2,0,0,2,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loum_tchaouna_burnley
ENG-Premier League,25/26,Wolves,Jackson Tchatchoua,CMR,"MF,DF",24-238,2001,31,19,1845,20.5,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jackson_tchatchoua_wolves
ENG-Premier League,25/26,Tottenham,Mathys Tel,FRA,"MF,FW",21-013,2005,28,10,1103,12.3,3,1,4,3,0,0,1,0,,,,,,,,0.24,0.08,0.33,0.24,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mathys_tel_tottenham
ENG-Premier League,25/26,Fulham,Kenny Tete,NED,DF,30-213,1995,22,21,1791,19.9,1,0,1,1,0,0,2,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenny_tete_fulham
ENG-Premier League,25/26,Brentford,Igor Thiago,BRA,FW,24-318,2001,36,35,3102,34.5,22,1,23,14,8,9,7,0,,,,,,,,0.64,0.03,0.67,0.41,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,igor_thiago_brentford
ENG-Premier League,25/26,Newcastle Utd,Malick Thiaw,GER,DF,24-275,2001,32,30,2695,29.9,4,0,4,4,0,0,4,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malick_thiaw_newcastle_utd
ENG-Premier League,25/26,Aston Villa,Youri Tielemans,BEL,MF,29-003,1997,22,19,1665,18.5,0,4,4,0,0,0,0,0,,,,,,,,0.00,0.22,0.22,0.00,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,youri_tielemans_aston_villa
ENG-Premier League,25/26,Arsenal,Jurriën Timber,NED,DF,24-327,2001,30,28,2454,27.3,3,5,8,3,0,0,5,0,,,,,,,,0.11,0.18,0.29,0.11,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jurrien_timber_arsenal
ENG-Premier League,25/26,West Ham,Jean-Clair Todibo,FRA,DF,26-131,1999,21,20,1699,18.9,0,1,1,0,0,0,4,1,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jean_clair_todibo_west_ham
ENG-Premier League,25/26,Newcastle Utd,Sandro Tonali,ITA,MF,26-002,2000,33,29,2392,26.6,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.08,0.08,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandro_tonali_newcastle_utd
ENG-Premier League,25/26,Aston Villa,Pau Torres,ESP,DF,29-114,1997,19,17,1568,17.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pau_torres_aston_villa
ENG-Premier League,25/26,Bournemouth,Alex Tóth,HUN,MF,20-199,2005,8,1,84,0.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex_toth_bournemouth
ENG-Premier League,25/26,Manchester City,James Trafford,ENG,GK,23-212,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,james_trafford_manchester_city
ENG-Premier League,25/26,Fulham,Adama Traoré,ESP,MF,30-105,1996,15,1,274,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adama_traore_fulham
ENG-Premier League,25/26,West Ham,Adama Traoré,ESP,"FW,MF",30-105,1996,9,0,121,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adama_traore_west_ham
ENG-Premier League,25/26,Sunderland,Bertrand Traoré,BFA,"MF,FW",30-246,1995,12,9,632,7.0,1,0,1,1,0,0,1,0,,,,,,,,0.14,0.00,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bertrand_traore_sunderland
ENG-Premier League,25/26,Burnley,Mike Trésor,BEL,"FW,MF",26-347,1999,6,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mike_tresor_burnley
ENG-Premier League,25/26,Newcastle Utd,Kieran Trippier,ENG,DF,35-233,1990,19,17,1501,16.7,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kieran_trippier_newcastle_utd
ENG-Premier League,25/26,Arsenal,Leandro Trossard,BEL,"FW,MF",31-157,1994,29,19,1821,20.2,5,6,11,5,0,0,1,0,,,,,,,,0.25,0.30,0.54,0.25,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leandro_trossard_arsenal
ENG-Premier League,25/26,Bournemouth,Adrien Truffert,FRA,DF,24-171,2001,36,36,3199,35.5,1,3,4,1,0,0,4,0,,,,,,,,0.03,0.08,0.11,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adrien_truffert_bournemouth
ENG-Premier League,25/26,Burnley,Axel Tuanzebe,COD,DF,28-177,1997,11,11,931,10.3,1,0,1,1,0,0,1,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,axel_tuanzebe_burnley
ENG-Premier League,25/26,Brighton,Stefanos Tzimas,GRE,FW,20-124,2006,9,1,139,1.5,1,1,2,1,0,0,0,0,,,,,,,,0.65,0.65,1.29,0.65,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stefanos_tzimas_brighton
ENG-Premier League,25/26,Crystal Palace,Christantus Uche,NGA,FW,22-356,2003,14,0,173,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christantus_uche_crystal_palace
ENG-Premier League,25/26,Tottenham,Destiny Udogie,ITA,"DF,MF",23-163,2002,17,11,1098,12.2,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.08,0.08,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,destiny_udogie_tottenham
ENG-Premier League,25/26,Manchester Utd,Manuel Ugarte,URU,MF,25-029,2001,22,8,887,9.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manuel_ugarte_manchester_utd
ENG-Premier League,25/26,Burnley,Lesley Ugochukwu,FRA,MF,22-045,2004,32,24,2114,23.5,3,1,4,3,0,0,3,1,,,,,,,,0.13,0.04,0.17,0.13,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lesley_ugochukwu_burnley
ENG-Premier League,25/26,Bournemouth,Enes Ünal,TUR,FW,29-000,1997,21,0,212,2.4,1,0,1,1,0,0,1,0,,,,,,,,0.42,0.00,0.42,0.42,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enes_unal_bournemouth
ENG-Premier League,25/26,Brentford,Hákon Valdimarsson,ISL,GK,24-209,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hakon_valdimarsson_brentford
ENG-Premier League,25/26,Liverpool,Virgil van Dijk,NED,DF,34-306,1991,36,36,3240,36.0,4,0,4,4,0,0,4,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,virgil_van_dijk_liverpool
