league,season,team,player_name,nation,pos,age,born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Int,Tkl+Int,Clr,Blocks_Blocks,Challenges_Tkl%,Challenges_Lost,Err,Total_Cmp,Total_Att,Total_Cmp%,Total_PrgDist,KP,Expected_xA,1/3,PPA,PrgP,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Outcomes_Blocks,Outcomes_Off,player_id
ENG-Premier League,25/26,Newcastle Utd,Alex Murphy,IRL,DF,21-319,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex_murphy_newcastle_utd
ENG-Premier League,25/26,Newcastle Utd,Jacob Murphy,ENG,"FW,MF",31-075,1995,30,17,1496,16.6,3,2,5,3,0,0,2,0,,,,,,,,0.18,0.12,0.30,0.18,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacob_murphy_newcastle_utd
ENG-Premier League,25/26,Everton,Vitaliy Mykolenko,UKR,DF,26-346,1999,30,30,2688,29.9,0,1,1,0,0,0,5,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitaliy_mykolenko_everton
ENG-Premier League,25/26,Wolves,David Møller Wolfe,NOR,"MF,DF",24-017,2002,20,9,892,9.9,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.20,0.20,0.00,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david_m_ller_wolfe_wolves
ENG-Premier League,25/26,Everton,Iliman Ndiaye,SEN,MF,26-065,2000,29,29,2508,27.9,6,3,9,4,2,2,2,0,,,,,,,,0.22,0.11,0.32,0.14,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iliman_ndiaye_everton
ENG-Premier League,25/26,Nott'ham Forest,Dan Ndoye,SUI,MF,25-197,2000,24,14,1173,13.0,1,1,2,1,0,0,1,0,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dan_ndoye_nott_ham_forest
ENG-Premier League,25/26,Sunderland,Dan Neil,ENG,MF,24-148,2001,3,0,14,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dan_neil_sunderland
ENG-Premier League,25/26,Brentford,Reiss Nelson,ENG,"FW,MF",26-151,1999,9,0,124,1.4,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.73,0.73,0.00,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reiss_nelson_brentford
ENG-Premier League,25/26,Chelsea,Pedro Neto,POR,MF,26-062,2000,32,28,2479,27.5,5,4,9,5,0,0,4,1,,,,,,,,0.18,0.15,0.33,0.18,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedro_neto_chelsea
ENG-Premier League,25/26,Nott'ham Forest,Luca Netz,GER,DF,22-360,2003,4,1,164,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luca_netz_nott_ham_forest
ENG-Premier League,25/26,Liverpool,Rio Ngumoha,ENG,MF,17-254,2008,17,3,398,4.4,2,1,3,2,0,0,0,0,,,,,,,,0.45,0.23,0.68,0.45,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rio_ngumoha_liverpool
ENG-Premier League,25/26,Crystal Palace,Eddie Nketiah,ENG,MF,26-345,1999,12,2,424,4.7,2,0,2,2,0,0,2,0,,,,,,,,0.42,0.00,0.42,0.42,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eddie_nketiah_crystal_palace
ENG-Premier League,25/26,Leeds United,Lukas Nmecha,GER,FW,27-147,1998,28,9,934,10.4,6,1,7,4,2,3,0,0,,,,,,,,0.58,0.10,0.67,0.39,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lukas_nmecha_leeds_united
ENG-Premier League,25/26,Manchester City,Matheus Nunes,POR,DF,27-256,1998,32,30,2715,30.2,1,5,6,1,0,0,5,0,,,,,,,,0.03,0.17,0.20,0.03,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matheus_nunes_manchester_city
